code;csvtm_sum;cvstm_propcorrect
1;70;0.583333333
2;73;0.608333333
3;93;0.775
4;83;0.691666667
5;79;0.658333333
6;72;0.6
7;94;0.783333333
8;85;0.708333333
9;72;0.6
10;90;0.75
11;96;0.8
12;91;0.758333333
13;106;0.883333333
14;86;0.716666667
15;82;0.683333333
16;87;0.725
17;86;0.716666667
18;88;0.733333333
19;87;0.725
20;85;0.708333333
21;75;0.625
22;87;0.725
23;82;0.683333333
24;89;0.741666667
25;91;0.758333333
26;90;0.75
27;71;0.591666667
28;102;0.85
29;70;0.583333333
30;81;0.675
31;90;0.75
32;92;0.766666667
33;92;0.766666667
34;83;0.691666667
35;104;0.866666667
36;90;0.75
37;75;0.625
38;96;0.8
39;112;0.933333333
40;86;0.716666667
41;88;0.733333333
42;77;0.641666667
43;88;0.733333333
44;99;0.825
45;93;0.775
46;79;0.658333333
47;84;0.7
48;87;0.725
49;100;0.833333333
50;89;0.741666667
51;88;0.733333333
52;101;0.841666667
53;72;0.6
54;100;0.833333333
55;93;0.775
56;81;0.675
57;89;0.741666667
58;104;0.866666667
59;76;0.633333333
60;92;0.766666667
61;93;0.775
62;93;0.775
63;99;0.825
64;88;0.733333333
65;102;0.85
66;80;0.666666667
67;81;0.675
68;87;0.725
69;82;0.683333333
70;88;0.733333333
71;88;0.733333333
72;81;0.675
73;90;0.75
74;90;0.75
75;93;0.775
76;91;0.758333333
77;85;0.708333333
78;113;0.941666667
79;87;0.725
80;76;0.633333333
81;96;0.8
82;78;0.65
83;85;0.708333333
84;99;0.825
85;95;0.791666667
86;75;0.625
87;83;0.691666667
88;90;0.75
89;92;0.766666667
90;93;0.775
91;79;0.658333333
92;97;0.808333333
93;91;0.758333333
94;100;0.833333333
95;99;0.825
96;76;0.633333333
97;95;0.791666667
98;87;0.725
99;82;0.683333333
100;83;0.691666667
101;77;0.641666667
102;96;0.8
103;106;0.883333333
104;91;0.758333333
105;108;0.9
106;76;0.633333333
107;103;0.858333333
108;81;0.675
109;86;0.716666667
110;87;0.725
111;93;0.775
112;81;0.675
113;73;0.608333333
114;100;0.833333333
115;103;0.858333333
116;105;0.875
117;82;0.683333333
118;81;0.675
119;82;0.683333333
120;79;0.658333333
121;74;0.616666667
122;79;0.658333333
123;78;0.65
124;82;0.683333333
125;88;0.733333333
126;75;0.625
127;84;0.7
128;93;0.775
129;99;0.825
130;77;0.641666667
131;95;0.791666667
132;96;0.8
133;86;0.716666667
134;94;0.783333333
135;80;0.666666667
136;102;0.85
137;93;0.775
138;81;0.675
139;92;0.766666667
140;82;0.683333333
141;80;0.666666667
142;96;0.8
143;89;0.741666667
144;109;0.908333333
145;85;0.708333333
146;80;0.666666667
147;82;0.683333333
148;74;0.616666667
149;103;0.858333333
150;74;0.616666667
151;97;0.808333333
152;92;0.766666667
153;84;0.7
154;88;0.733333333
155;97;0.808333333
156;72;0.6
157;87;0.725
158;86;0.716666667
159;85;0.708333333
