code;vp_sum;vp_propcorrect
1;33;0.916666667
2;27;0.75
3;33;0.916666667
4;31;0.861111111
5;32;0.888888889
6;24;0.666666667
7;28;0.777777778
8;27;0.75
9;28;0.777777778
10;26;0.722222222
11;34;0.944444444
12;18;0.5
13;32;0.888888889
14;35;0.972222222
15;34;0.944444444
16;32;0.888888889
17;32;0.888888889
18;33;0.916666667
19;31;0.861111111
20;29;0.805555556
21;34;0.944444444
22;28;0.777777778
23;25;0.694444444
24;31;0.861111111
25;28;0.777777778
26;34;0.944444444
27;31;0.861111111
28;33;0.916666667
29;24;0.666666667
30;31;0.861111111
31;35;0.972222222
32;26;0.722222222
33;31;0.861111111
34;29;0.805555556
35;33;0.916666667
36;35;0.972222222
37;30;0.833333333
38;30;0.833333333
39;33;0.916666667
40;29;0.805555556
41;31;0.861111111
42;35;0.972222222
43;34;0.944444444
44;29;0.805555556
45;33;0.916666667
46;32;0.888888889
47;29;0.805555556
48;28;0.777777778
49;28;0.777777778
50;29;0.805555556
51;32;0.888888889
52;35;0.972222222
53;33;0.916666667
54;34;0.944444444
55;30;0.833333333
56;30;0.833333333
57;29;0.805555556
58;32;0.888888889
59;30;0.833333333
60;32;0.888888889
61;24;0.666666667
62;31;0.861111111
63;31;0.861111111
64;29;0.805555556
65;34;0.944444444
66;29;0.805555556
67;29;0.805555556
68;34;0.944444444
69;28;0.777777778
70;26;0.722222222
71;29;0.805555556
72;27;0.75
73;30;0.833333333
74;26;0.722222222
75;29;0.805555556
76;31;0.861111111
77;35;0.972222222
78;35;0.972222222
79;28;0.777777778
80;29;0.805555556
81;34;0.944444444
82;29;0.805555556
83;34;0.944444444
84;34;0.944444444
85;33;0.916666667
86;33;0.916666667
87;31;0.861111111
88;32;0.888888889
89;35;0.972222222
90;32;0.888888889
91;30;0.833333333
92;35;0.972222222
93;30;0.833333333
94;28;0.777777778
95;34;0.944444444
96;31;0.861111111
97;31;0.861111111
98;29;0.805555556
99;31;0.861111111
100;32;0.888888889
101;30;0.833333333
102;24;0.666666667
103;32;0.888888889
104;34;0.944444444
105;32;0.888888889
106;28;0.777777778
107;33;0.916666667
108;32;0.888888889
109;27;0.75
110;30;0.833333333
111;33;0.916666667
112;28;0.777777778
113;25;0.694444444
114;34;0.944444444
115;35;0.972222222
116;36;1
117;24;0.666666667
118;30;0.833333333
119;31;0.861111111
120;28;0.777777778
121;28;0.777777778
122;32;0.888888889
123;25;0.694444444
124;29;0.805555556
125;35;0.972222222
126;28;0.777777778
127;25;0.694444444
128;33;0.916666667
129;34;0.944444444
130;27;0.75
131;34;0.944444444
132;25;0.694444444
133;35;0.972222222
134;28;0.777777778
135;30;0.833333333
136;35;0.972222222
137;34;0.944444444
138;24;0.666666667
139;32;0.888888889
140;27;0.75
141;24;0.666666667
142;28;0.777777778
143;30;0.833333333
144;31;0.861111111
145;31;0.861111111
146;31;0.861111111
147;28;0.777777778
148;21;0.583333333
149;28;0.777777778
150;26;0.722222222
151;29;0.805555556
152;33;0.916666667
153;28;0.777777778
154;29;0.805555556
155;27;0.75
156;33;0.916666667
157;30;0.833333333
158;31;0.861111111
159;26;0.722222222
