code;question1;question2;question3;question4;question5;question6;question7;question8;question9;question10;question11;question12;question13;question14;question15;question16;question17;question18
1;2;3;3;3;2;3;3;3;2;3;3;3;2;2;3;2;3;2
2;3;4;3;4;3;3;3;3;3;3;3;3;3;2;4;4;3;3
3;2;3;2;1;2;2;2;2;1;1;1;2;1;0;2;1;2;0
4;1;2;2;3;1;2;2;0;2;3;1;1;3;2;2;1;1;0
5;3;4;4;2;4;4;4;3;1;4;3;3;1;1;4;2;3;4
6;1;3;3;4;3;3;3;4;4;4;3;3;2;3;3;3;3;3
7;1;3;3;1;2;2;0;1;2;1;1;1;1;0;1;1;1;1
8;1;2;3;3;2;1;2;3;1;2;1;2;1;1;4;1;1;1
9;2;3;3;3;3;3;3;3;3;3;3;3;2;2;3;2;2;3
10;1;4;4;4;3;4;4;3;2;4;3;3;2;3;4;3;3;4
11;4;2;4;4;3;3;4;4;0;3;3;4;3;3;4;3;2;3
12;2;3;3;2;2;1;1;3;0;1;1;1;0;0;3;0;2;1
13;3;4;4;4;3;3;4;4;2;4;3;3;2;3;4;2;2;4
14;3;3;4;3;3;3;3;3;1;3;2;3;2;3;3;2;2;3
15;3;4;3;3;4;3;3;3;3;4;3;3;1;3;4;3;3;3
16;0;1;2;1;0;1;1;0;3;0;1;1;3;2;1;1;0;0
17;0;1;1;1;0;0;1;2;1;1;2;1;1;0;2;0;1;1
18;1;4;3;3;3;3;4;3;1;4;2;3;3;3;4;1;3;3
19;2;2;3;3;2;3;1;3;1;2;1;1;4;1;2;1;2;2
20;3;4;4;4;4;3;4;4;1;4;2;3;1;3;4;1;3;4
21;2;4;3;3;3;2;3;2;3;3;3;3;2;1;4;3;2;3
22;1;3;4;3;2;3;1;2;3;3;3;2;1;3;4;2;2;2
23;3;2;3;3;4;2;2;3;3;0;3;3;3;1;3;2;4;3
24;3;3;3;2;3;3;3;3;1;3;1;3;3;3;4;1;2;3
25;3;3;3;3;3;3;3;3;2;3;3;3;1;3;3;1;3;3
26;3;4;4;3;3;4;3;3;3;4;3;3;1;1;4;1;3;3
27;3;4;4;3;3;4;4;4;3;4;4;3;3;3;4;1;3;4
28;1;2;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1
29;4;4;4;3;4;4;4;4;2;4;4;3;2;1;3;1;4;3
30;3;4;3;3;3;4;4;4;3;3;3;3;1;3;4;1;3;3
31;3;4;2;3;3;2;3;2;1;3;1;4;1;0;3;1;3;3
32;2;4;3;3;3;2;2;3;1;4;4;3;1;1;4;1;3;4
33;3;4;4;4;3;3;4;4;2;4;4;3;2;3;4;3;3;4
34;1;2;3;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2
35;0;1;3;1;1;1;1;3;1;1;3;1;1;3;2;1;0;1
