"","code","question1","question2","question3","question4","question5","question6","question7","question8","question9","question10","question11","question12","question13","question14","question15","question16","question17","question18","vp_sum","vp_propcorrect","cb_sum","cb_propcorrect","csvtm_sum","cvstm_propcorrect","strategies","pre2","pre3","post","group_all","mean_rl_all","mean_e1_all","mean_d1_all","mean_d_all","time_rating","rating"
"1",1,2,3,3,3,2,3,3,3,2,3,3,3,2,2,3,2,3,2,33,0.916666667,26,0.722222222,70,0.583333333,1,7.5,7.4,7,"above",5.95,3.05,3.9007195,32.773125,"pre1",6.2
"2",1,2,3,3,3,2,3,3,3,2,3,3,3,2,2,3,2,3,2,33,0.916666667,26,0.722222222,70,0.583333333,1,7.5,7.4,7,"above",5.95,3.05,3.9007195,32.773125,"pre4",6.2
"3",2,3,4,3,4,3,3,3,3,3,3,3,3,3,2,4,4,3,3,27,0.75,27,0.75,73,0.608333333,1,5.5,2.5,2.1,"control",5.35,3.25,16.3936395,71.17568,"pre1",5.5
"4",2,3,4,3,4,3,3,3,3,3,3,3,3,3,2,4,4,3,3,27,0.75,27,0.75,73,0.608333333,1,5.5,2.5,2.1,"control",5.35,3.25,16.3936395,71.17568,"pre4",4.4
"5",3,2,3,2,1,2,2,2,2,1,1,1,2,1,0,2,1,2,0,33,0.916666667,30,0.833333333,93,0.775,2,4.5,2.5,3.2,"below",4.8,3.25,5.576016,36.187635,"pre1",8.7
"6",3,2,3,2,1,2,2,2,2,1,1,1,2,1,0,2,1,2,0,33,0.916666667,30,0.833333333,93,0.775,2,4.5,2.5,3.2,"below",4.8,3.25,5.576016,36.187635,"pre4",2.5
"7",4,1,2,2,3,1,2,2,0,2,3,1,1,3,2,2,1,1,0,31,0.861111111,27,0.75,83,0.691666667,2,0.9,1.1,0.6,"below",6.55,2.55,4.7382675,44.018895,"pre1",5.2
"8",4,1,2,2,3,1,2,2,0,2,3,1,1,3,2,2,1,1,0,31,0.861111111,27,0.75,83,0.691666667,2,0.9,1.1,0.6,"below",6.55,2.55,4.7382675,44.018895,"pre4",0.6
"9",5,3,4,4,2,4,4,4,3,1,4,3,3,1,1,4,2,3,4,32,0.888888889,25,0.694444444,79,0.658333333,1,4.6,6.7,6.3,"above",6.15,2.5,5.5296305,42.3393,"pre1",8.1
"10",5,3,4,4,2,4,4,4,3,1,4,3,3,1,1,4,2,3,4,32,0.888888889,25,0.694444444,79,0.658333333,1,4.6,6.7,6.3,"above",6.15,2.5,5.5296305,42.3393,"pre4",6.2
"11",6,1,3,3,4,3,3,3,4,4,4,3,3,2,3,3,3,3,3,24,0.666666667,23,0.638888889,72,0.6,2,3.3,2.9,2.2,"control",6.05,3.05,8.1799,45.001775,"pre1",4.9
"12",6,1,3,3,4,3,3,3,4,4,4,3,3,2,3,3,3,3,3,24,0.666666667,23,0.638888889,72,0.6,2,3.3,2.9,2.2,"control",6.05,3.05,8.1799,45.001775,"pre4",2.1
"13",7,1,3,3,1,2,2,0,1,2,1,1,1,1,0,1,1,1,1,28,0.777777778,28,0.777777778,94,0.783333333,2,4.2,7,5.2,"control",5,3.3,6.0338725,39.379595,"pre1",6.8
"14",7,1,3,3,1,2,2,0,1,2,1,1,1,1,0,1,1,1,1,28,0.777777778,28,0.777777778,94,0.783333333,2,4.2,7,5.2,"control",5,3.3,6.0338725,39.379595,"pre4",2
"15",8,1,2,3,3,2,1,2,3,1,2,1,2,1,1,4,1,1,1,27,0.75,27,0.75,85,0.708333333,2,1.8,1.9,2.1,"below",5.4,3.3,8.40339,55.312785,"pre1",6.5
"16",8,1,2,3,3,2,1,2,3,1,2,1,2,1,1,4,1,1,1,27,0.75,27,0.75,85,0.708333333,2,1.8,1.9,2.1,"below",5.4,3.3,8.40339,55.312785,"pre4",2.3
"17",9,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,28,0.777777778,30,0.833333333,72,0.6,1,6.6,6.3,7,"above",4.5,3.45,5.404353,39.22149,"pre1",5.2
"18",9,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,28,0.777777778,30,0.833333333,72,0.6,1,6.6,6.3,7,"above",4.5,3.45,5.404353,39.22149,"pre4",6.5
"19",10,1,4,4,4,3,4,4,3,2,4,3,3,2,3,4,3,3,4,26,0.722222222,26,0.722222222,90,0.75,2,1.5,1.8,1.8,"below",6,2.65,4.274488,39.475235,"pre1",6.6
"20",10,1,4,4,4,3,4,4,3,2,4,3,3,2,3,4,3,3,4,26,0.722222222,26,0.722222222,90,0.75,2,1.5,1.8,1.8,"below",6,2.65,4.274488,39.475235,"pre4",2
"21",11,4,2,4,4,3,3,4,4,0,3,3,4,3,3,4,3,2,3,34,0.944444444,29,0.805555556,96,0.8,2,7.1,6.9,7,"below",4.65,3.15,7.199051,42.991475,"pre1",6.3
"22",11,4,2,4,4,3,3,4,4,0,3,3,4,3,3,4,3,2,3,34,0.944444444,29,0.805555556,96,0.8,2,7.1,6.9,7,"below",4.65,3.15,7.199051,42.991475,"pre4",8.5
"23",12,2,3,3,2,2,1,1,3,0,1,1,1,0,0,3,0,2,1,18,0.5,29,0.805555556,91,0.758333333,2,3.2,3.4,5,"control",4.6,3.4,2.88741,33.83825,"pre1",3.9
