code_all;group_all;mean_rl_all;mean_e1_all;mean_d1_all;mean_d_all
1;above;5.95;3.05;3.9007195;32.773125
10;below;6;2.65;4.274488;39.475235
100;above;3.6;4.45;11.129128;54.67211
101;control;4.95;2.65;4.890543;37.68265
102;control;6.75;2.25;4.859154;43.88951
103;above;4.85;4.2;10.1589085;41.01698
104;control;4.05;3.8;14.8526355;58.164395
105;above;3.2;4.4;8.321969;38.652915
106;above;5.95;2.3;3.4380335;39.875565
107;below;4.35;3.85;5.4693425;33.219755
108;above;4.6;3.8;7.7744925;48.887235
109;above;7.75;2.3;5.139191;42.77611
11;below;4.65;3.15;7.199051;42.991475
110;control;4.6;3.2;4.5210985;33.127245
111;below;7.9;1.7;2.03699035;36.475225
112;control;6.95;1.65;2.9040635;46.1688
113;control;6.55;2.4;1.90338495;28.74859
114;below;2.7;5.05;16.483798;51.892135
115;below;4.75;3.35;4.2399405;36.22375
116;control;5.65;2.8;6.2114465;45.057615
117;below;7.05;2.4;4.663895;37.35039
118;control;4.8;3.95;6.5403275;39.106415
119;above;4.9;3;5.21077;40.82666
12;control;4.6;3.4;2.88741;33.83825
120;above;6.35;2.4;2.9969658;39.629715
121;above;4.95;3.45;15.6956665;77.57177
122;below;6;3.7;15.599477;65.927505
123;below;5.55;3.35;8.539218;42.584935
124;control;7;2.15;2.713542;34.1605
125;below;5.15;3.55;5.418237;38.44862
126;below;5.8;3.55;9.8949285;47.676405
127;above;5.9;2.9;4.697852;41.68368
128;below;5.3;3.4;6.0631235;45.971035
129;above;4.55;2.9;4.7381645;33.552065
13;control;4.5;3.5;4.5975385;35.041325
130;above;5.55;2.75;7.456447;42.09061
131;below;5.75;2.9;5.3212055;48.208465
132;below;4.5;3.85;5.718614;38.42954
133;below;5.35;2.95;4.9862325;35.57713
134;control;4.25;3.6;7.648637;46.14483
135;below;4.9;3.7;12.5562635;45.789515
136;below;4.5;3.95;6.9003645;34.23783
137;above;4.45;3.55;2.7276685;29.107285
138;below;4.2;3.45;6.031325;40.1001
139;below;6.3;3.05;4.115853;37.307335
14;control;5.05;2.75;4.0557805;39.577225
140;below;6.25;3.35;4.6913835;33.95859
141;control;6.8;2.4;4.426868;39.05925
142;below;5.5;3.5;12.4340035;50.51651
143;below;5.15;3.4;5.3691705;39.41952
144;below;4.5;3.35;3.456777;30.14677
145;below;4.65;3.55;16.2749135;61.961025
146;above;4.25;3.55;5.1271425;39.798585
147;below;5.45;2.9;6.0245125;50.32073
148;control;4.6;3.95;4.932856;33.00022
149;above;6.05;2.25;2.8203645;31.970355
15;above;3.95;3.45;7.095413;40.827325
150;control;5.45;2.4;3.38301;36.517235
151;above;5.1;3.05;6.032548;39.57001
152;below;5.9;2.4;2.2408995;28.155385
153;above;5.05;2.95;6.236498;43.335715
154;above;4.45;3.7;5.230533;37.88155
155;control;5.8;3.55;9.594206;47.037585
156;control;3.45;4.3;15.663824;60.61347
157;control;5.3;2.65;9.108837;46.662955
158;above;6.75;2.4;4.725188;38.85564
159;control;4.2;4.1;9.046077;45.51007
16;below;3.2;4.75;11.8771785;49.639495
17;below;3.85;4.1;10.923;47.690375
18;below;3.95;3.85;6.904739;40.771755
19;below;5.05;3.6;8.883278;53.09936
2;control;5.35;3.25;16.3936395;71.17568
20;control;4.65;4.6;19.5261635;56.095025
21;control;4.9;3.85;6.848548;41.654715
22;below;5.9;3.4;7.4477925;54.876435
23;control;6.2;2.3;3.18522695;34.069565
24;above;3.3;4.8;16.8821655;73.80089
25;below;5.55;3.05;5.667855;40.435795
26;control;6;2.75;5.8578445;39.23844
27;above;4.7;3.4;6.3844045;42.82846
28;below;4.25;3.6;15.600606;62.249035
29;above;8;1.85;6.0248205;69.66022
3;below;4.8;3.25;5.576016;36.187635
30;above;3.75;4.8;8.9460435;41.6506
31;above;3.85;3.85;7.897862;37.998435
32;control;4.6;3.5;4.43204;32.88247
33;control;4.65;3;5.410994;34.334165
34;below;7.65;2.55;10.6639325;56.030575
35;below;5.45;3;9.5376625;41.023815
36;above;5.7;3.15;4.644387;39.016775
37;control;6.75;3.15;4.857551;34.110255
38;control;6.45;2.9;4.7010595;28.750515
39;above;4.9;3.6;4.6170035;30.968355
4;below;6.55;2.55;4.7382675;44.018895
40;below;7.3;2.35;3.250027;34.20401
41;above;4.45;2.95;3.804354;33.225925
42;above;4.15;3.9;6.2490815;41.731635
43;below;4.95;3;5.292976;34.20217
44;control;3.75;4.1;4.8316925;30.40882
45;control;4.15;4.05;12.1098295;47.500375
46;control;4.1;4.25;14.7810465;57.56888
47;control;4.25;3;5.3734065;39.28527
48;control;5.55;2.7;17.7138985;64.90319
49;above;8.45;1.65;2.9333524;40.93092
5;above;6.15;2.5;5.5296305;42.3393
50;above;6.3;2.95;5.400149;44.671825
51;control;4.6;3.2;8.6709455;47.368395
52;above;4.85;2.8;5.9310235;31.831455
53;below;5.4;3.1;4.152399;32.97924
54;above;4.3;3.9;6.62626;37.83488
55;control;4.9;3.2;3.8657205;32.500305
56;above;6.45;2.5;4.4196645;46.14527
57;above;3.7;3.8;9.7958045;49.20395
58;above;3.95;3.5;8.1804025;40.25076
59;control;4.75;3.25;4.8958135;33.787215
6;control;6.05;3.05;8.1799;45.001775
60;control;2.9;5.55;17.8554305;50.33883
61;control;7.5;2.5;6.291214;50.13099
62;above;3.55;4;8.0375245;48.557535
63;control;6.35;2.45;2.5054525;31.811945
64;below;6.6;2.2;3.806282;37.763215
65;control;3.7;4.45;8.363002;38.038225
66;below;6.15;3.3;4.41095;35.42018
67;below;4;4.3;10.5871415;49.91602
68;above;3.45;4.1;6.6269685;33.62272
69;below;6.15;2.7;5.1950305;39.87968
7;control;5;3.3;6.0338725;39.379595
70;below;7.35;2.2;7.67018;52.1502
71;below;6.8;2.9;6.842088;44.391615
72;control;4.7;3.55;10.9484405;57.1151
73;above;6.7;2.35;4.1003457;33.733045
74;above;4.75;3.5;6.7566745;41.98138
75;control;5.9;2.6;4.606528;37.66031
76;below;4.5;3.5;6.3747055;41.060095
77;above;4.4;3.3;4.35375;35.67522
78;above;3.35;4.6;11.2956855;44.275715
79;control;4.75;3.75;5.2733625;34.80585
8;below;5.4;3.3;8.40339;55.312785
80;below;5.6;3.15;5.3639895;38.164985
81;above;5.8;3.25;6.3634765;45.629815
82;above;7.65;2.95;4.929031;45.135025
83;below;6;3.25;7.6114195;46.546725
84;control;4.3;4.5;15.3853175;58.284995
85;control;4.7;2.85;4.569705;32.317495
86;below;4.95;3.25;5.0048285;44.29033
87;above;5;2.95;4.3272515;39.55701
88;control;5;3.35;4.375949;29.72562
89;control;3.85;3.3;5.41058;34.72556
9;above;4.5;3.45;5.404353;39.22149
90;control;5.9;3.05;4.656481;38.40457
91;below;5.8;3.2;7.7065285;53.107005
92;control;6.1;2.55;3.2649205;27.54395
93;above;4.65;3.4;5.5067125;32.93737
94;above;4.85;3.35;6.3505835;38.682015
95;below;4.4;3.45;6.494848;45.208055
96;above;6.1;2.8;3.564481;35.88942
97;above;4.4;3.2;5.2961005;37.91438
98;control;4.9;3.3;4.3553285;35.35462
99;above;5.9;3.2;7.5207145;39.50405
